id,dataset_name,test_accuracy,test_std,train_time,end_val_epoch
105,SonyAIBORobotSurface1,0.9968,0.0044,0.9726,38.0
106,SonyAIBORobotSurface2,1.0,0.0,1.9725,41.2
107,StarLightCurves,0.9865,0.0039,1871.2325,133.0
108,Strawberry,0.9715,0.0028,17.6234,227.8
109,SwedishLeaf,0.9849,0.0107,7.6486,112.6
110,Symbols,0.9961,0.0041,7.1251,55.6
111,SyntheticControl,0.99,0.0037,0.8117,34.2
112,ToeSegmentation1,0.974,0.0384,4.6292,177.2
113,ToeSegmentation2,0.9344,0.0634,9.8124,90.2
114,Trace,1.0,0.0,2.1813,53.4
115,TwoLeadECG,1.0,0.0,3.6172,49.6
116,TwoPatterns,0.9592,0.0214,45.6118,62.0
117,UMD,0.9389,0.0456,40.5994,273.0
118,UWaveGestureLibraryAll,0.9545,0.038,954.9033,272.6
119,UWaveGestureLibraryX,0.9239,0.055,326.4591,159.8
120,UWaveGestureLibraryY,0.8705,0.0751,373.3481,199.6
121,UWaveGestureLibraryZ,0.9027,0.0615,261.2133,188.8
122,Wafer,0.9996,0.0006,21.621,63.8
123,Wine,0.8379,0.0237,19.6426,438.4
124,WordSynonyms,0.7967,0.1291,32.7093,264.0
125,Worms,0.8029999999999999,0.1066,13.3769,297.0
126,WormsTwoClass,0.8299,0.0649,5.4245,49.6
127,Yoga,0.9909,0.0062,131.1524,353.80
